nombre,foto,pelis
Danny DeVito,https://media.themoviedb.org/t/p/w235_and_h235_face/gNHF2SNXFFCRqwIQ2Xv6r6aV6UD.jpg,"Lorax. En busca de la trúfula perdida, Batman vuelve y Alguien voló sobre el nido del cuco"
Morgan Freeman,https://media.themoviedb.org/t/p/w235_and_h235_face/jPsLqiYGSofU4s6BjrxnefMfabb.jpg,"Seven, Cadena perpetua y Lucy"
Josh Hutcherson,https://media.themoviedb.org/t/p/w235_and_h235_face/awZRe7yQqj7eYLvURWxjk9TifOe.jpg,"Los Juegos del Hambre, Los Juegos del Hambre: En llamas y Los Juegos del Hambre: Sinsajo - Parte 1"
Jackie Chan,https://media.themoviedb.org/t/p/w235_and_h235_face/nraZoTzwJQPHspAVsKfgl3RXKKa.jpg,"Hora punta, Hora punta 2 y Hora punta 3"
Samuel L. Jackson,https://media.themoviedb.org/t/p/w235_and_h235_face/nCJJ3NVksYNxIzEHcyC1XziwPVj.jpg,"Los odiosos ocho, Pulp Fiction y Kingsman: Servicio secreto"
Saranya Pradeep,https://media.themoviedb.org/t/p/w235_and_h235_face/zGdjxXehk4Bashdfq4DpOqnVzc6.jpg,"Fidaa, Bhamakalapam y Kushi"
Sirena Gulamgaus,https://media.themoviedb.org/t/p/w235_and_h235_face/jT4E7OwQ98m8pAi6ASIJ82HMrgM.jpg,"Chapelwaite, Código 8 (Parte 2) y Transplant"
Scott Adkins,https://media.themoviedb.org/t/p/w235_and_h235_face/9NRr2a1riIn5CWn5McZLJlk4vxR.jpg,"Doctor Strange, Boyka: Invicto IV y Invicto 3: Redención"
Jacob Elordi,https://media.themoviedb.org/t/p/w235_and_h235_face/khfLyxY9gsKiLFoz2zj0h3uhDFJ.jpg,"Mi primer beso 2, Mi primer beso y Euphoria"
Keanu Reeves,https://media.themoviedb.org/t/p/w235_and_h235_face/4D0PpNI0kmP58hgrwGC3wCjxhnm.jpg,"Matrix, John Wick (Otro día para matar) y John Wick: Pacto de sangre"
Alexandra Daddario,https://media.themoviedb.org/t/p/w235_and_h235_face/f5DsLRFDm2qLkVT8zmPsZ6d6Ngx.jpg,"San Andrés, Percy Jackson y el ladrón del rayo y Baywatch: Los vigilantes de la playa"
Channing Tatum,https://media.themoviedb.org/t/p/w235_and_h235_face/xdnstENLdWMPWt9qyhtf695L4t6.jpg,"Infiltrados en clase, Asalto al poder y Infiltrados en la universidad"
Daniel Ings,https://media.themoviedb.org/t/p/w235_and_h235_face/VHtgRMz5t0F8DEjYMxSmY09DTw.jpg,"Piratas del Caribe: En mareas misteriosas, The Marvels y Eddie el Águila"
Kristen Stewart,https://media.themoviedb.org/t/p/w235_and_h235_face/ryhCjTGqS6G6OprbR0qUEH355lA.jpg,"Crepúsculo, La saga Crepúsculo: Luna nueva y La saga Crepúsculo:  Amanecer - Parte 1"
Joey King,https://media.themoviedb.org/t/p/w235_and_h235_face/kL0lWLJA6lbvmPM3YL0ISE6rVr6.jpg,"Mi primer beso, Mi primer beso 2 y Bullet Train"
Vanessa Kirby,https://media.themoviedb.org/t/p/w235_and_h235_face/iFvuPhFe0jJ1w3e638FhaqXBWf2.jpg,"Fast & Furious: Hobbs & Shaw, Antes De Ti y Fragmentos de una mujer"
Paul Giamatti,https://media.themoviedb.org/t/p/w235_and_h235_face/kn7LAbFYP5RPC2r61tDx2CRUeuw.jpg,"El show de Truman, El ilusionista y The Amazing Spider-Man 2: El poder de Electro"
Gina Gershon,https://media.themoviedb.org/t/p/w235_and_h235_face/c9PpXfQ5XN5IYISUTexXMF19cax.jpg,"Cara a cara, Posdata: Te quiero y Showgirls"
Ryan Reynolds,https://media.themoviedb.org/t/p/w235_and_h235_face/so89QyuxAZY8IOpNTweCekhxsvO.jpg,"Deadpool, Deadpool 2 y Free Guy"
Robert De Niro,https://media.themoviedb.org/t/p/w235_and_h235_face/cT8htcckIuyI1Lqwt1CvD02ynTh.jpg,"Joker, Taxi Driver y Heat"
Mary Elizabeth Winstead,https://media.themoviedb.org/t/p/w235_and_h235_face/lgLSrB5MAhnJeS7qfc18YxzTNnJ.jpg,"Calle Cloverfield 10, Scott Pilgrim contra el mundo y Destino final 3"
Charlie Murphy,https://media.themoviedb.org/t/p/w235_and_h235_face/AaugO5Qq1Opp3Dv6JuH5ESJYmo9.jpg,"Peaky Blinders, El extranjero y Halo"
Rosamund Pike,https://media.themoviedb.org/t/p/w235_and_h235_face/8ObNklHDi2hjdz0ayzJFB9jtqzm.jpg,"Perdida, Jack Reacher y Descuida, yo te cuido"
Morena Baccarin,https://media.themoviedb.org/t/p/w235_and_h235_face/kBSKKaOtsqIzZPhtEeHfCBmhWl9.jpg,"Deadpool, Deadpool 2 y Greenland: El último refugio"
Vin Diesel,https://media.themoviedb.org/t/p/w235_and_h235_face/nZdVry7lnUkE24PnXakok9okvL4.jpg,"Fast & Furious 7, Fast & Furious 6 y Fast & Furious 8"
